"snapshot_date","channel","provider","model","region","pricing_unit","quality_resolution","usd_per_unit","cny_per_unit","usd_per_1000_units","cny_per_1000_units","extra_cost","confidence","source_url","notes"
"2026-09-10","official","OpenAI","GPT Image 2.5 Sunburst","global","USD per 1M image-output tokens","variable","30","202.20","","","text input $5/M; image input $8/M; cached rates lower","high","https://developers.openai.com/api/docs/models/gpt-image-2.5-sunburst","No official fixed per-image estimate"
"2026-09-10","official","OpenAI","GPT Image 2.5 Flare","global","USD per 1M image-output tokens","variable","30","202.20","","","text input $5/M; image input $8/M; cached rates lower","high","https://developers.openai.com/api/docs/models/gpt-image-2.5-flare","No official fixed per-image estimate"
"2026-09-10","official","OpenAI","GPT Image 1.5","global","per image","square low","0.009","0.0607","9","60.66","input tokens extra","high","https://developers.openai.com/api/docs/models/gpt-image-1.5","Previous model"
"2026-09-10","official","OpenAI","GPT Image 1.5","global","per image","square medium","0.034","0.2292","34","229.16","input tokens extra","high","https://developers.openai.com/api/docs/models/gpt-image-1.5","Previous model"
"2026-09-10","official","OpenAI","GPT Image 1.5","global","per image","square high","0.133","0.8964","133","896.42","input tokens extra","high","https://developers.openai.com/api/docs/models/gpt-image-1.5","Previous model"
"2026-09-10","official","OpenAI","GPT Image 1 Mini","global","per image","square low","0.005","0.0337","5","33.70","input tokens extra","high","https://developers.openai.com/api/docs/models/gpt-image-1-mini","Previous model"
"2026-09-10","official","OpenAI","GPT Image 1 Mini","global","per image","square medium","0.011","0.0741","11","74.14","input tokens extra","high","https://developers.openai.com/api/docs/models/gpt-image-1-mini","Previous model"
"2026-09-10","official","OpenAI","GPT Image 1 Mini","global","per image","square high","0.036","0.2426","36","242.64","input tokens extra","high","https://developers.openai.com/api/docs/models/gpt-image-1-mini","Previous model"
"2026-09-10","official","Google Gemini API","Gemini 3.1 Flash Image / Nano Banana 2","global","per image","0.5K standard","0.045","0.3033","45","303.30","input and text/thinking output extra","high","https://ai.google.dev/gemini-api/docs/pricing","Batch price $0.022"
"2026-09-10","official","Google Gemini API","Gemini 3.1 Flash Image / Nano Banana 2","global","per image","1K standard","0.067","0.4516","67","451.58","input and text/thinking output extra","high","https://ai.google.dev/gemini-api/docs/pricing","Batch price $0.034"
"2026-09-10","official","Google Gemini API","Gemini 3.1 Flash Image / Nano Banana 2","global","per image","2K standard","0.101","0.6807","101","680.74","input and text/thinking output extra","high","https://ai.google.dev/gemini-api/docs/pricing","Batch price $0.050"
"2026-09-10","official","Google Gemini API","Gemini 3.1 Flash Image / Nano Banana 2","global","per image","4K standard","0.151","1.0177","151","1017.74","input and text/thinking output extra","high","https://ai.google.dev/gemini-api/docs/pricing","Batch price $0.076"
"2026-09-10","official","Google Gemini API","Gemini 3.1 Flash Lite Image","global","per image","1K standard","0.0336","0.2265","33.6","226.46","input and text/thinking output extra","high","https://ai.google.dev/gemini-api/docs/pricing","Batch price $0.0168"
"2026-09-10","official","Google Vertex AI","Imagen 4 Fast","global","per image","default","0.02","0.1348","20","134.80","","high","https://cloud.google.com/vertex-ai/generative-ai/pricing",""
"2026-09-10","official","Google Vertex AI","Imagen 4","global","per image","default","0.04","0.2696","40","269.60","","high","https://cloud.google.com/vertex-ai/generative-ai/pricing",""
"2026-09-10","official","Google Vertex AI","Imagen 4 Ultra","global","per image","default","0.06","0.4044","60","404.40","","high","https://cloud.google.com/vertex-ai/generative-ai/pricing",""
"2026-09-10","official","Black Forest Labs","FLUX.2 Klein 4B","global","per image starting price","size-dependent","0.014","0.0944","14","94.36","megapixel-sensitive","high","https://docs.bfl.ai/quick_start/pricing","1 credit = $0.01"
"2026-09-10","official","Black Forest Labs","FLUX.2 Klein 9B","global","per image starting price","size-dependent","0.015","0.1011","15","101.10","megapixel-sensitive","high","https://docs.bfl.ai/quick_start/pricing","1 credit = $0.01"
"2026-09-10","official","Black Forest Labs","FLUX.2 Pro","global","per image starting price","size-dependent","0.03","0.2022","30","202.20","megapixel-sensitive","high","https://docs.bfl.ai/quick_start/pricing",""
"2026-09-10","official","Black Forest Labs","FLUX.2 Flex","global","per image starting price","size-dependent","0.06","0.4044","60","404.40","megapixel-sensitive","high","https://docs.bfl.ai/quick_start/pricing",""
"2026-09-10","official","Black Forest Labs","FLUX.2 Max","global","per image starting price","size-dependent","0.07","0.4718","70","471.80","megapixel-sensitive","high","https://docs.bfl.ai/quick_start/pricing",""
"2026-09-10","official","Black Forest Labs","FLUX.1 Kontext Pro","global","per image","default","0.04","0.2696","40","269.60","input image constraints apply","high","https://docs.bfl.ai/quick_start/pricing",""
"2026-09-10","official","Black Forest Labs","FLUX.1 Kontext Max","global","per image","default","0.08","0.5392","80","539.20","input image constraints apply","high","https://docs.bfl.ai/quick_start/pricing",""
"2026-09-10","official","Stability AI","Stable Image Core","global","per successful image","default","0.03","0.2022","30","202.20","","high","https://platform.stability.ai/pricing","1 credit = $0.01"
"2026-09-10","official","Stability AI","Stable Image Ultra","global","per successful image","default","0.08","0.5392","80","539.20","","high","https://platform.stability.ai/pricing","1 credit = $0.01"
"2026-09-10","official","Stability AI","Stable Diffusion 3.5 Flash","global","per successful image","default","0.025","0.1685","25","168.50","","high","https://platform.stability.ai/docs/api-reference",""
"2026-09-10","official","Stability AI","Stable Diffusion 3.5 Medium","global","per successful image","default","0.035","0.2359","35","235.90","","high","https://platform.stability.ai/docs/api-reference",""
"2026-09-10","official","Stability AI","Stable Diffusion 3.5 Large Turbo","global","per successful image","default","0.04","0.2696","40","269.60","","high","https://platform.stability.ai/docs/api-reference",""
"2026-09-10","official","Stability AI","Stable Diffusion 3.5 Large","global","per successful image","default","0.065","0.4381","65","438.10","","high","https://platform.stability.ai/docs/api-reference",""
"2026-09-10","official","Ideogram","Ideogram 4 Turbo","global","per image","turbo","0.03","0.2022","30","202.20","","high","https://ideogram.ai/models/4.0","API balance separate from subscription"
"2026-09-10","official","Ideogram","Ideogram 4 Default","global","per image","default","0.06","0.4044","60","404.40","","high","https://ideogram.ai/models/4.0","API balance separate from subscription"
"2026-09-10","official","Ideogram","Ideogram 4 Quality","global","per image","quality","0.10","0.6740","100","674.00","","high","https://ideogram.ai/models/4.0","API balance separate from subscription"
"2026-09-10","official","Recraft","Recraft V4.1 Raster","global","per image","standard","0.035","0.2359","35","235.90","","high","https://www.recraft.ai/pricing?tab=api","Current V4.1 snapshot"
"2026-09-10","official","Recraft","Recraft V4.1 Pro Raster","global","per image","pro","0.21","1.4154","210","1415.40","","high","https://www.recraft.ai/pricing?tab=api","Current V4.1 snapshot"
"2026-09-10","official","Recraft","Recraft V4.1 Vector","global","per image","vector","0.08","0.5392","80","539.20","","high","https://www.recraft.ai/pricing?tab=api",""
"2026-09-10","official","Recraft","Recraft V4.1 Pro Vector","global","per image","pro vector","0.30","2.0220","300","2022.00","","high","https://www.recraft.ai/pricing?tab=api",""
"2026-09-10","official","xAI","Grok Imagine Image 2.0","global","per output image","1K low","0.04","0.2696","40","269.60","input image $0.01","high","https://docs.x.ai/developers/pricing",""
"2026-09-10","official","xAI","Grok Imagine Image 2.0","global","per output image","2K low or 1K medium","0.06","0.4044","60","404.40","input image $0.01","high","https://docs.x.ai/developers/pricing",""
"2026-09-10","official","xAI","Grok Imagine Image 2.0","global","per output image","2K medium","0.08","0.5392","80","539.20","input image $0.01","high","https://docs.x.ai/developers/pricing",""
"2026-09-10","official","Volcengine Ark","Seedream 5.0 Lite","mainland China","per image","default","0.0326","0.22","32.64","220","","high","https://www.volcengine.com/product/ark","USD values converted at 6.74"
"2026-09-10","official","Volcengine Ark","Seedream 4.5","mainland China","per image","default","0.0371","0.25","37.09","250","","high","https://www.volcengine.com/product/ark","USD values converted at 6.74"
"2026-09-10","official","Volcengine Ark","Seedream 4.0","mainland China","per image","default","0.0297","0.20","29.67","200","","high","https://www.volcengine.com/product/ark","USD values converted at 6.74"
"2026-09-10","official","Alibaba Model Studio","Qwen Image 3.0","mainland China","per output image","1K or 2K","0.0267","0.18","26.71","180","input image ¥0.02","high","https://help.aliyun.com/zh/model-studio/model-pricing","USD values converted at 6.74"
"2026-09-10","official","Alibaba Model Studio","Qwen Image 3.0 Pro","mainland China","per output image","1K","0.0371","0.25","37.09","250","input image ¥0.02","high","https://help.aliyun.com/zh/model-studio/model-pricing",""
"2026-09-10","official","Alibaba Model Studio","Qwen Image 3.0 Pro","mainland China","per output image","2K","0.0742","0.50","74.18","500","input image ¥0.02","high","https://help.aliyun.com/zh/model-studio/model-pricing",""
"2026-09-10","official","Alibaba Model Studio","Wan 2.7 Image","mainland China","per image","standard","0.0297","0.20","29.67","200","","high","https://help.aliyun.com/zh/model-studio/model-pricing",""
"2026-09-10","official","Alibaba Model Studio","Wan 2.7 Image Pro","mainland China","per image","pro","0.0742","0.50","74.18","500","","high","https://help.aliyun.com/zh/model-studio/model-pricing",""
"2026-09-10","official","Alibaba Model Studio","Wan 2.2 Flash","mainland China","per image","flash","0.0208","0.14","20.77","140","","high","https://help.aliyun.com/zh/model-studio/model-pricing",""
"2026-09-10","official","Tencent TokenHub","HY-Image-V3.0","mainland China","per image","default","0.0297","0.20","29.67","200","","high","https://cloud.tencent.com/document/product/1823/130055","Metered through image tokens"
"2026-09-10","official","Tencent TokenHub","HY-Image-Lite","mainland China","per image","default","0.0147","0.099","14.69","99","","high","https://cloud.tencent.com/document/product/1823/130055","Metered through image tokens"
"2026-09-10","official","Baidu Qianfan","MuseSteamer Air Image","mainland China","per image","1024x1024","0.0074","0.05","7.42","50","","high","https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya",""
"2026-09-10","official","Baidu Qianfan","Qwen Image hosted","mainland China","per image","default","0.0371","0.25","37.09","250","","high","https://cloud.baidu.com/doc/qianfan/s/wmh4sv6ya",""
"2026-09-10","official","SiliconFlow","Z-Image Turbo","mainland China","per image","default","0.0148","0.10","14.84","100","","high","https://siliconflow.cn/pricing",""
"2026-09-10","official","SiliconFlow","ERNIE Image Turbo","mainland China","per image","default","0.0163","0.11","16.32","110","","high","https://siliconflow.cn/pricing",""
